filename	acq_time
anat/sub-9073_ses-1_T1w.nii.gz	1873-02-09T20:24:46
anat/sub-9073_ses-1_FLAIR.nii.gz	1873-02-09T21:35:51
fmap/sub-9073_ses-1_magnitude1.nii.gz	1873-02-09T20:44:09
fmap/sub-9073_ses-1_magnitude2.nii.gz	1873-02-09T20:44:09
fmap/sub-9073_ses-1_phase1.nii.gz	1873-02-09T20:44:09
fmap/sub-9073_ses-1_phase2.nii.gz	1873-02-09T20:44:09
func/sub-9073_ses-1_task-arrows_bold.nii.gz	1873-02-09T21:07:09
func/sub-9073_ses-1_task-faces_bold.nii.gz	1873-02-09T20:47:34
func/sub-9073_ses-1_task-hands_bold.nii.gz	1873-02-09T20:56:28
func/sub-9073_ses-1_task-rest_bold.nii.gz	1873-02-09T20:32:18
func/sub-9073_ses-1_task-sleepiness_bold.nii.gz	1873-02-09T21:25:27
